Clasificador	Accuracy	Precision	Recall	F1-Score
LDA	50.0	50.0	50.0	48.57
SVM	50.0	25.0	50.0	33.33
LDA	33.0	33.33	33.0	33.33
SVM	50.0	50.0	50.0	48.57
LDA	100.0	100.0	100.0	100.0
SVM	83.0	87.5	83.0	82.86
LDA	100.0	100.0	100.0	100.0
SVM	100.0	100.0	100.0	100.0
LDA	67.0	80.0	67.0	62.5
SVM	100.0	100.0	100.0	100.0
LDA	33.0	20.0	33.0	25.0
SVM	67.0	66.67	67.0	66.67
LDA	67.0	66.67	67.0	66.67
SVM	83.0	87.5	83.0	82.86
Avg-std(LDA)	64.29 +- 28.07	64.29 +- 31.43	64.29 +- 28.07	62.3 +- 29.67
Avg-std(SVM)	76.14 +- 21.15	73.81 +- 28.13	76.14 +- 21.15	73.47 +- 25.37
