Clasificador	Accuracy	Precision	Recall	F1-Score
LDA	44.0	35.56	44.0	38.89
SVM	33.0	11.11	33.0	16.67
LDA	44.0	44.44	44.0	43.49
SVM	56.00000000000001	63.33	56.0	56.67
LDA	44.0	36.67	44.0	38.33
SVM	44.0	46.67	44.0	43.33
LDA	22.0	16.67	22.0	19.05
SVM	67.0	66.67	67.0	65.71
LDA	78.0	80.56	78.0	77.46
SVM	78.0	80.56	78.0	77.46
LDA	56.00000000000001	66.67	56.0	54.76
SVM	67.0	66.67	67.0	65.71
LDA	44.0	44.44	44.0	44.44
SVM	78.0	86.67	78.0	78.33
Avg-std(LDA)	47.43 +- 16.84	46.43 +- 21.14	47.43 +- 16.84	45.2 +- 17.83
Avg-std(SVM)	60.43 +- 17.06	60.24 +- 25.17	60.43 +- 17.06	57.7 +- 21.74
