Clasificador	Accuracy	Precision	Recall	F1-Score
LDA	50.0	50.0	50.0	48.57
SVM	50.0	50.0	50.0	48.57
LDA	50.0	50.0	50.0	48.57
SVM	67.0	80.0	67.0	62.5
LDA	67.0	66.67	67.0	66.67
SVM	83.0	87.5	83.0	82.86
LDA	100.0	100.0	100.0	100.0
SVM	100.0	100.0	100.0	100.0
LDA	50.0	50.0	50.0	48.57
SVM	67.0	66.67	67.0	66.67
LDA	50.0	50.0	50.0	48.57
SVM	50.0	50.0	50.0	48.57
LDA	50.0	25.0	50.0	33.33
SVM	83.0	87.5	83.0	82.86
Avg-std(LDA)	59.57 +- 18.92	55.95 +- 22.93	59.57 +- 18.92	56.33 +- 21.54
Avg-std(SVM)	71.43 +- 18.45	74.52 +- 19.49	71.43 +- 18.45	70.29 +- 19.22
